epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,450.078,0.62935,0.58342,0.00228,0.92327,0.87564,0.94932,0.87701,0.45216,0.40941,0.00253,0.000304601,0.000304601,0.000304601
63,456.837,0.67602,0.58146,0.00238,0.89657,0.89612,0.94753,0.88127,0.44314,0.41019,0.00247,0.000296988,0.000296988,0.000296988
64,463.657,0.63625,0.56835,0.00232,0.90239,0.89216,0.94921,0.87457,0.46206,0.41574,0.00258,0.000289375,0.000289375,0.000289375
65,470.421,0.62335,0.54777,0.00227,0.88774,0.91413,0.94943,0.88407,0.43718,0.40778,0.00242,0.000281762,0.000281762,0.000281762
66,477.246,0.63687,0.57672,0.00243,0.92839,0.84879,0.94813,0.87319,0.45957,0.42079,0.00263,0.000274148,0.000274148,0.000274148
67,484.1,0.65237,0.56743,0.00247,0.89393,0.88608,0.94653,0.83121,0.5959,0.45294,0.00344,0.000266535,0.000266535,0.000266535
68,490.851,0.6494,0.57018,0.00245,0.89532,0.88979,0.94536,0.88028,0.4428,0.42217,0.00244,0.000258922,0.000258922,0.000258922
69,497.591,0.64499,0.55769,0.00237,0.91773,0.8877,0.94704,0.87237,0.45143,0.41737,0.00259,0.000251309,0.000251309,0.000251309
70,504.363,0.60222,0.53661,0.00217,0.92115,0.85894,0.94571,0.87874,0.42969,0.41695,0.00231,0.000243696,0.000243696,0.000243696
71,511.139,0.60026,0.53566,0.00216,0.9105,0.87899,0.94728,0.86972,0.47875,0.42465,0.00256,0.000236083,0.000236083,0.000236083
72,517.903,0.62567,0.56059,0.0023,0.89326,0.89347,0.95001,0.87745,0.45028,0.41155,0.00257,0.00022847,0.00022847,0.00022847
73,524.658,0.60868,0.52431,0.0022,0.91066,0.89815,0.9526,0.89086,0.41153,0.39204,0.00223,0.000220857,0.000220857,0.000220857
74,531.495,0.61315,0.52989,0.0022,0.89889,0.89994,0.95347,0.88979,0.43174,0.39777,0.00239,0.000213244,0.000213244,0.000213244
75,538.242,0.60701,0.53626,0.00217,0.91607,0.89261,0.95347,0.88547,0.43669,0.3893,0.00244,0.000205631,0.000205631,0.000205631
76,545.038,0.58741,0.5119,0.00214,0.91036,0.89533,0.95459,0.89672,0.41001,0.38608,0.00225,0.000198018,0.000198018,0.000198018
77,551.849,0.60187,0.50289,0.0022,0.91708,0.86867,0.95316,0.88201,0.44861,0.39876,0.00242,0.000190404,0.000190404,0.000190404
78,558.631,0.60623,0.5309,0.00229,0.88919,0.88189,0.95082,0.89191,0.40741,0.39312,0.00225,0.000182791,0.000182791,0.000182791
